model,fold,metric,value,dataset,task
XGBoost,1,recall,0.6666666666666666,MDVR-KCL,SpontaneousDialogue
XGBoost,1,f1,0.6666666666666666,MDVR-KCL,SpontaneousDialogue
XGBoost,1,roc_auc,0.5833333333333334,MDVR-KCL,SpontaneousDialogue
XGBoost,2,accuracy,0.8571428571428571,MDVR-KCL,SpontaneousDialogue
XGBoost,2,precision,1.0,MDVR-KCL,SpontaneousDialogue
XGBoost,2,recall,0.6666666666666666,MDVR-KCL,SpontaneousDialogue
XGBoost,2,f1,0.8,MDVR-KCL,SpontaneousDialogue
XGBoost,2,roc_auc,0.9166666666666666,MDVR-KCL,SpontaneousDialogue
XGBoost,3,accuracy,0.5714285714285714,MDVR-KCL,SpontaneousDialogue
XGBoost,3,precision,0.5,MDVR-KCL,SpontaneousDialogue
XGBoost,3,recall,0.3333333333333333,MDVR-KCL,SpontaneousDialogue
XGBoost,3,f1,0.4,MDVR-KCL,SpontaneousDialogue
XGBoost,3,roc_auc,0.75,MDVR-KCL,SpontaneousDialogue
XGBoost,4,accuracy,0.75,MDVR-KCL,SpontaneousDialogue
XGBoost,4,precision,1.0,MDVR-KCL,SpontaneousDialogue
XGBoost,4,recall,0.3333333333333333,MDVR-KCL,SpontaneousDialogue
XGBoost,4,f1,0.5,MDVR-KCL,SpontaneousDialogue
XGBoost,4,roc_auc,0.6,MDVR-KCL,SpontaneousDialogue
XGBoost,5,accuracy,0.5714285714285714,MDVR-KCL,SpontaneousDialogue
XGBoost,5,precision,0.5,MDVR-KCL,SpontaneousDialogue
XGBoost,5,recall,0.3333333333333333,MDVR-KCL,SpontaneousDialogue
XGBoost,5,f1,0.4,MDVR-KCL,SpontaneousDialogue
XGBoost,5,roc_auc,0.5833333333333333,MDVR-KCL,SpontaneousDialogue
LogisticRegression,1,accuracy,0.8157894736842105,PD_SPEECH_FEATURES,N/A
LogisticRegression,1,precision,0.8695652173913043,PD_SPEECH_FEATURES,N/A
LogisticRegression,1,recall,0.8849557522123894,PD_SPEECH_FEATURES,N/A
LogisticRegression,1,f1,0.8771929824561403,PD_SPEECH_FEATURES,N/A
