model,method,rank,feature,mean,std
XGBoost,native,6.0,mfcc_2_mean,0.032823333889245986,0.02168770380839485
XGBoost,native,7.0,jitter_local,0.03220931105315685,0.012124188836883622
XGBoost,native,8.0,f0_mean,0.03140388985048048,0.03530576787766522
XGBoost,native,9.0,shimmer_local,0.03135440490441397,0.054186954384215016
XGBoost,native,10.0,intensity_max,0.029938409477472304,0.030155090660994036
XGBoost,native,11.0,mfcc_12_mean,0.028227112255990505,0.013637057288337799
XGBoost,native,12.0,intensity_mean,0.027529165148735046,0.02978756637763174
XGBoost,native,13.0,intensity_min,0.02752288281917572,0.061543036920437964
XGBoost,native,14.0,mfcc_1_mean,0.02601191921858117,0.02575462138262466
XGBoost,native,15.0,mfcc_9_mean,0.02341369427740574,0.03792935625836084
XGBoost,native,16.0,delta_mfcc_4_mean,0.022864629328250886,0.023746323770382178
XGBoost,native,17.0,delta_mfcc_11_mean,0.022770048677921297,0.02278889514454309
XGBoost,native,18.0,mfcc_11_mean,0.021613897383213045,0.03174118579145847
XGBoost,native,19.0,delta_mfcc_7_mean,0.01948719471693039,0.022559923379587645
XGBoost,native,20.0,delta_mfcc_9_mean,0.019167627952992917,0.03963991300098504
XGBoost,permutation,1.0,mfcc_5_mean,0.10535714285714286,0.07923824190119211
XGBoost,permutation,2.0,delta_mfcc_2_mean,0.07392857142857143,0.052543713579596696
XGBoost,permutation,3.0,shimmer_apq11,0.05964285714285714,0.08910338526288504
XGBoost,permutation,4.0,mfcc_12_mean,0.019999999999999997,0.03129843185743805
XGBoost,permutation,5.0,jitter_ppq5,0.017142857142857147,0.03833259389999641
XGBoost,permutation,6.0,jitter_local,0.017142857142857133,0.038332593899996374
XGBoost,permutation,7.0,mfcc_2_mean,0.0075,0.016770509831248424
XGBoost,permutation,8.0,delta_mfcc_8_mean,0.00035714285714285893,0.009482798605251258
XGBoost,permutation,9.0,autocorr_harmonicity,0.0,0.0
XGBoost,permutation,9.0,delta_mfcc_0_mean,0.0,0.0
XGBoost,permutation,9.0,delta_mfcc_10_mean,0.0,0.0
XGBoost,permutation,9.0,delta_mfcc_12_mean,0.0,0.0
XGBoost,permutation,9.0,delta_mfcc_1_mean,0.0,0.0
XGBoost,permutation,9.0,delta_mfcc_4_mean,0.0,0.0
XGBoost,permutation,9.0,delta_mfcc_5_mean,0.0,0.0
XGBoost,permutation,9.0,delta_mfcc_6_mean,0.0,0.0
XGBoost,permutation,9.0,delta_mfcc_7_mean,0.0,0.0
XGBoost,permutation,9.0,delta_mfcc_9_mean,0.0,0.0
XGBoost,permutation,9.0,f0_max,0.0,0.0
XGBoost,permutation,9.0,f0_mean,0.0,0.0
