model,method,rank,feature,mean,std
XGBoost,permutation,4.0,delta_mfcc_5_mean,0.0,0.0
XGBoost,permutation,4.0,delta_mfcc_6_mean,0.0,0.0
XGBoost,permutation,4.0,delta_mfcc_8_mean,0.0,0.0
XGBoost,permutation,4.0,f0_min,0.0,0.0
XGBoost,permutation,4.0,f0_std,0.0,0.0
XGBoost,permutation,4.0,f2_mean,0.0,0.0
XGBoost,permutation,4.0,f2_std,0.0,0.0
XGBoost,permutation,4.0,f3_mean,0.0,0.0
XGBoost,permutation,4.0,jitter_local,0.0,0.0
XGBoost,permutation,4.0,jitter_ppq5,0.0,0.0
